After training 5.62 hours, episode: 18900.0, frames: 4.77M, average reward: 2.77
After training 5.65 hours, episode: 19000.0, frames: 4.80M, average reward: 2.01
After training 5.68 hours, episode: 19100.0, frames: 4.82M, average reward: 3.01
After training 5.71 hours, episode: 19200.0, frames: 4.85M, average reward: 1.11
After training 5.74 hours, episode: 19300.0, frames: 4.88M, average reward: 2.27
After training 5.77 hours, episode: 19400.0, frames: 4.90M, average reward: 3.39
After training 5.80 hours, episode: 19500.0, frames: 4.93M, average reward: 3.97
After training 5.83 hours, episode: 19600.0, frames: 4.95M, average reward: 2.18
After training 5.86 hours, episode: 19700.0, frames: 4.97M, average reward: 2.64
After training 5.88 hours, episode: 19800.0, frames: 5.00M, average reward: 3.95
After training 5.92 hours, episode: 19900.0, frames: 5.02M, average reward: 3.35
After training 5.94 hours, episode: 20000.0, frames: 5.05M, average reward: 1.88
After training 5.97 hours, episode: 20100.0, frames: 5.07M, average reward: 1.11
After training 6.00 hours, episode: 20200.0, frames: 5.10M, average reward: 2.25
After training 6.03 hours, episode: 20300.0, frames: 5.13M, average reward: 2.44
After training 6.07 hours, episode: 20400.0, frames: 5.15M, average reward: 1.78
After training 6.09 hours, episode: 20500.0, frames: 5.17M, average reward: 3.20
After training 6.12 hours, episode: 20600.0, frames: 5.20M, average reward: 2.28
After training 6.15 hours, episode: 20700.0, frames: 5.22M, average reward: 1.04
After training 6.18 hours, episode: 20800.0, frames: 5.24M, average reward: 2.80
After training 6.22 hours, episode: 20900.0, frames: 5.27M, average reward: 1.00
After training 6.25 hours, episode: 21000.0, frames: 5.29M, average reward: 1.54
After training 6.28 hours, episode: 21100.0, frames: 5.32M, average reward: 3.97
After training 6.31 hours, episode: 21200.0, frames: 5.35M, average reward: 3.65
After training 6.34 hours, episode: 21300.0, frames: 5.37M, average reward: 2.31
After training 6.36 hours, episode: 21400.0, frames: 5.40M, average reward: 3.81
After training 6.39 hours, episode: 21500.0, frames: 5.42M, average reward: 2.57
After training 6.42 hours, episode: 21600.0, frames: 5.45M, average reward: 3.10
After training 6.45 hours, episode: 21700.0, frames: 5.48M, average reward: 3.18
After training 6.49 hours, episode: 21800.0, frames: 5.50M, average reward: 3.92
After training 6.52 hours, episode: 21900.0, frames: 5.53M, average reward: 2.74
After training 6.54 hours, episode: 22000.0, frames: 5.55M, average reward: 1.79
After training 6.57 hours, episode: 22100.0, frames: 5.57M, average reward: 2.19
After training 6.61 hours, episode: 22200.0, frames: 5.59M, average reward: 2.95
After training 6.63 hours, episode: 22300.0, frames: 5.62M, average reward: 2.09
After training 6.66 hours, episode: 22400.0, frames: 5.64M, average reward: 3.70
After training 6.69 hours, episode: 22500.0, frames: 5.67M, average reward: 2.23
After training 6.73 hours, episode: 22600.0, frames: 5.69M, average reward: 2.31
After training 6.75 hours, episode: 22700.0, frames: 5.71M, average reward: 3.33
After training 6.78 hours, episode: 22800.0, frames: 5.74M, average reward: 2.36
After training 6.81 hours, episode: 22900.0, frames: 5.76M, average reward: 1.19
After training 6.84 hours, episode: 23000.0, frames: 5.79M, average reward: 3.43
After training 6.87 hours, episode: 23100.0, frames: 5.82M, average reward: 1.15
After training 6.89 hours, episode: 23200.0, frames: 5.85M, average reward: 1.11
After training 6.92 hours, episode: 23300.0, frames: 5.87M, average reward: 3.46
After training 6.95 hours, episode: 23400.0, frames: 5.89M, average reward: 2.01
After training 6.98 hours, episode: 23500.0, frames: 5.92M, average reward: 3.87
After training 7.01 hours, episode: 23600.0, frames: 5.95M, average reward: 3.16
After training 7.03 hours, episode: 23700.0, frames: 5.98M, average reward: 2.26
After training 7.06 hours, episode: 23800.0, frames: 6.00M, average reward: 2.92
After training 7.09 hours, episode: 23900.0, frames: 6.03M, average reward: 3.03
After training 7.12 hours, episode: 24000.0, frames: 6.05M, average reward: 1.50
After training 7.15 hours, episode: 24100.0, frames: 6.08M, average reward: 2.92
After training 7.18 hours, episode: 24200.0, frames: 6.11M, average reward: 3.22
After training 7.21 hours, episode: 24300.0, frames: 6.13M, average reward: 3.60
After training 7.24 hours, episode: 24400.0, frames: 6.15M, average reward: 1.73
After training 7.27 hours, episode: 24500.0, frames: 6.18M, average reward: 3.12
After training 7.30 hours, episode: 24600.0, frames: 6.20M, average reward: 3.89
After training 7.34 hours, episode: 24700.0, frames: 6.22M, average reward: 1.48
